;StationID;CutoffRigidity;sites_Precip;sites_Temperature;Bulkdensity;Altitude;beta;beta_sd;beta_mae;beta_rmse;beta_oulu;beta_apty;beta_lmks;beta_mxco;beta_athens;omega;omega_sd;omega_oulu;omega_apty;omega_mxco;omega_athens;omega_lmks;omega_mae;omega_rmse;psi;psi_sd;psi_oulu;psi_apty;psi_athens;psi_mxco;psi_lmks;psi_mae;psi_rmse;BetaDesilets;mean_N;mean_P;number_of_days_for_regression;Desilets_beta_eff;Desilets_beta
0;AAC001;1.21;1240;6.2;1.029;72;-0.007116518475546639;0.00023251069972019835;-0.00727786234402312;-0.007116518475546639;-0.007043493450232844;-0.006990082640454221;-0.007077266201571222;-0.007105749398151685;-0.007091803246185471;-0.009406911448180367;0.0013144797377544293;-0.008821698110332699;-0.008772517162790493;-0.009499070377795934;-0.009311562926400974;-0.009242717408363323;-0.009671903750332446;-0.009406911448180367;0.14934533309104386;0.13859417084114709;1.2823223339196903;0.9645262092320276;0.6145015985877343;1.1193481960220626;0.4925974367128287;0.15911179349252816;0.14934533309104386;;1737.0987996990327;1003.6872048417631;1655.0;-0.007259429377684611;-0.007271678585329778
1;ACC001;4.15;1805;7.0;0.853;867;-0.0074766534197777;0.0002241084164280115;-0.007481622982549213;-0.0074766534197777;-0.007584347406626915;-0.007590532008545318;-0.007567976503471481;-0.007578693422603335;-0.007568535532941847;-0.005723772320830111;0.0015322577734201595;-0.0057107742880602615;-0.005702921305226156;-0.005577348824635616;-0.005522062579941048;-0.005552166998971812;-0.006397199752944496;-0.005723772320830111;0.8276168144000825;0.18581336879603963;0.42448829647567105;0.3487924990484801;0.7020637884416785;0.9382711928550151;0.1307740253603082;0.7951991317244066;0.8276168144000825;;2556.0090897902783;917.9654784917154;1372.0;-0.0073291716179572424;-0.007387344999109971
2;AGCK003;7.17;1003;12.5;1.258;1032;-0.006771722718868965;0.0005218771203222002;-0.006820657024750405;-0.006771722718868965;-0.006743054459861301;-0.006760529521460063;-0.006748575683761303;-0.0067964690716035845;-0.006611594571939024;-0.007152154370463305;0.0016148521018281917;-0.007150050244766995;-0.0071650528491416015;-0.007116441511072695;-0.006845328213767115;-0.00732095537024139;-0.007891884942751361;-0.007152154370463305;0.0506379492881447;0.24405793415911234;0.5240295957529765;0.31203887868015284;0.8036715633610204;1.0492769675887472;0.26447362273176767;0.10682714084211985;0.0506379492881447;;2945.2432543168575;898.6330954586874;1486.0;-0.007172619456007677;-0.007243421723103317
3;ALC001;6.87;1255;13.6;0.858;671;-0.0063232200419410444;0.00028407723934445884;-0.006477811006168635;-0.0063232200419410444;-0.006266542954899491;-0.006281904285567039;-0.006256078504871092;-0.006293159286305416;-0.006282705151334191;-0.005400741359569455;0.0009039807029636178;-0.005358046429881218;-0.005375719235539719;-0.00532726442618319;-0.00552871887866508;-0.005403740443423717;-0.005361956161826344;-0.005400741359569455;0.3488982266280556;0.12258634609456444;0.2576887429622745;0.25268058481081906;0.44516324167495686;0.5998358999012643;0.13026244689945066;0.3460105594828958;0.3488982266280556;;1736.9337022178652;939.672806835444;1674.0;-0.007166483342816112;-0.007222807670069933
4;ALC002;6.87;1215;15.4;1.126;453;-0.006191412709486913;0.00027518291600909264;-0.006436336469875831;-0.006191412709486913;-0.006154695814521379;-0.006168893625778291;-0.006118654503033305;-0.006146318760895211;-0.006171976641649221;-0.006416923426151357;0.0005521404766294747;-0.006470937930502364;-0.006435007875932402;-0.006349232991636741;-0.006335614030877946;-0.006509805128413224;-0.006754508200808279;-0.006416923426151357;0.3208475908730378;0.12685050202076772;0.42437836229861414;0.3738379173984296;0.583607627778936;0.6050712117142685;0.23554623730240845;0.28552101767016097;0.3208475908730378;;1741.91282476285;962.2372368399687;1884.0;-0.007148107955234779;-0.007192285262497605
5;BBC001;3.1;986;8.9;1.037;571;-0.007599490461340563;0.00047205233483078575;-0.0075545053617014565;-0.007599490461340563;-0.007570132256886539;-0.007587636225935919;-0.007647232794800223;-0.007590227669694717;-0.007697860791810952;-0.006365573930631671;0.0018506021308360887;-0.006266605628372595;-0.006236953619163221;-0.0063702803664034986;-0.006589017310611845;-0.006406663695167067;-0.006665512604799645;-0.006365573930631671;0.713591919749044;0.47583778054709425;0.6988662304117924;0.417821894917833;0.4547041724920174;0.9100118788473663;-0.1361551265067444;0.5002169849148433;0.713591919749044;;2811.2166038595487;949.0261882673872;684.0;-0.007334421745380399;-0.007383968938621848
6;BOC001;3.07;1071;10.8;1.276;67;-0.0072880944560944514;0.0008062535124087208;-0.0072585334122932275;-0.0072880944560944514;-0.007325740408219841;-0.007286940781255881;-0.007363465137830879;-0.007380840954968242;-0.007252103500876664;-0.010063179879491355;0.003110998470396534;-0.00969169217734664;-0.009690233531997031;-0.009958939913571285;-0.009373478621563366;-0.01005449073600233;-0.009413692233863548;-0.010063179879491355;0.613340502479795;0.4160827313413481;1.1325138737400433;1.0005401996511658;1.606914222864147;0.431430536945021;-0.005221101667927103;0.5105635848929497;0.613340502479795;;1500.6227033487335;1008.9489066146873;187.0;-0.007283810744942362;-0.007288139394964497
7;BUC001;4.72;792;12.6;1.23;625;-0.0052462131268309;0.0010837261699171861;-0.00578663242094083;-0.0052462131268309;-0.005195965248826204;-0.005200049489498619;-0.005093676301036128;-0.00524041144222464;-0.0051060410357751645;-0.006543005677640997;0.0029613369044607864;-0.004953667498579672;-0.005009049663147755;-0.00506524624181979;-0.004714499938523144;-0.00501766277146002;-0.007477800642932417;-0.006543005677640997;0.9745097444311474;0.4597247438379214;0.2750632113277441;0.3153266462116275;1.7700657050048216;0.5540898516716188;0.43703400549581395;1.1814559778031668;0.9745097444311474;;2515.3766011392477;1011.2499974312951;180.0;-0.007237672555042098;-0.007239567028677662
8;CAC001;7.36;525;16.6;1.177;785;-0.0067000955272204935;0.0002817384477478106;-0.006600112867166842;-0.0067000955272204935;-0.006764851240590042;-0.0067717068551775145;-0.006766275143139322;-0.006760799330045488;-0.0067317358170077835;-0.005381395971829196;0.0011071931879411778;-0.005353970117493965;-0.005399805099984377;-0.005427601952213719;-0.005193471773475914;-0.005337666496763755;-0.0052063523976085945;-0.005381395971829196;0.2873487340916762;0.13279082832525216;0.4149230480435113;0.26147718736968406;0.5912590536277521;0.8826270455527196;0.16446006664178875;0.3487895747466056;0.2873487340916762;;2418.5908683115676;929.6393749511103;1035.0;-0.0071365477067745625;-0.0072015156340426685
9;CAC002;7.36;525;16.6;1.252;789;-0.007190358640012657;0.001999962820738408;-0.006990471260853985;-0.007190358640012657;-0.006997148226439576;-0.00699489702054362;-0.007006772901520909;-0.007075477509721356;-0.007067035960767148;0.0006713558029958614;0.0024040996743669683;0.0007596281046302369;0.000775241495580411;0.0007545978202921981;0.0007848678135914743;0.0009422461188983261;0.00043977725189657215;0.0006713558029958614;-0.11381340545657923;0.5027990233466153;0.022809190174922625;0.03488172113112583;0.37145121346499005;0.031552570657642526;0.4009040984843954;0.0402663787703286;-0.11381340545657923;;1004.2615386115834;928.4609918469863;455.0;-0.007137458842509039;-0.0072028782024151985
