Year	Month	Day	Hour	SWC_5cm
2019	11	16	3	0.262331837
2019	11	16	4	0.261441844
2019	11	16	5	0.261621544
2019	11	16	6	0.260884831
2019	11	16	7	0.260634113
2019	11	16	8	0.260518058
2019	11	16	9	0.260796215
2019	11	16	10	0.25954928
2019	11	16	11	0.258581254
2019	11	16	12	0.256290942
2019	11	16	13	0.252536598
2019	11	16	14	0.250031583
2019	11	16	15	0.246235004
2019	11	16	16	0.243944026
2019	11	16	17	0.242923473
2019	11	16	18	0.241680746
2019	11	16	19	0.241427998
2019	11	16	20	0.241258566
2019	11	16	21	0.240973544
2019	11	16	22	0.240571651
2019	11	16	23	0.240255934
2019	11	17	0	0.23923922
2019	11	17	1	0.239395944
2019	11	17	2	0.23881558
2019	11	17	3	0.238780025
2019	11	17	4	0.238667914
2019	11	17	5	0.238934408
2019	11	17	6	0.238482402
2019	11	17	7	0.238438184
2019	11	17	8	0.237765013
2019	11	17	9	0.237103508
2019	11	17	10	0.236140484
2019	11	17	11	0.265095342
2019	11	17	12	0.313046818
2019	11	17	13	0.310822965
2019	11	17	14	0.299547215
2019	11	17	15	0.295418266
2019	11	17	16	0.305452961
2019	11	17	17	0.305323837
2019	11	17	18	0.311247974
2019	11	17	19	0.313909248
2019	11	17	20	0.316876033
2019	11	17	21	0.312750207
2019	11	17	22	0.309840307
2019	11	17	23	0.301455543
2019	11	18	0	0.303944193
2019	11	18	1	0.304232831
2019	11	18	2	0.302794255
2019	11	18	3	0.296798893
2019	11	18	4	0.292687683
2019	11	18	5	0.290369944
2019	11	18	6	0.288341752
2019	11	18	7	0.287265768
2019	11	18	8	0.286049556
2019	11	18	9	0.285626176
2019	11	18	10	0.285055549
2019	11	18	11	0.283468037
2019	11	18	12	0.281394641
2019	11	18	13	0.278778009
2019	11	18	14	0.277088402
2019	11	18	15	0.276117932
2019	11	18	16	0.275271779
2019	11	18	17	0.27416155
2019	11	18	18	0.273463758
2019	11	18	19	0.272682253
2019	11	18	20	0.271825255
2019	11	18	21	0.271703845
2019	11	18	22	0.271596408
2019	11	18	23	0.271068056
2019	11	19	0	0.27092387
2019	11	19	1	0.270632946
2019	11	19	2	0.270307802
2019	11	19	3	0.270033719
2019	11	19	4	0.269728549
2019	11	19	5	0.269415565
2019	11	19	6	0.269297783
2019	11	19	7	0.268870503
2019	11	19	8	0.268715463
2019	11	19	9	0.268333741
2019	11	19	10	0.268716976
2019	11	19	11	0.26842653
2019	11	19	12	0.267695652
2019	11	19	13	0.266638067
2019	11	19	14	0.2665715
2019	11	19	15	0.265903177
2019	11	19	16	0.265236672
2019	11	19	17	0.26494681
2019	11	19	18	0.26457784
2019	11	19	19	0.264417754
2019	11	19	20	0.264195495
2019	11	19	21	0.264201493
2019	11	19	22	0.264625441
2019	11	19	23	0.277119062
2019	11	20	0	0.294007877
2019	11	20	1	0.296987133
2019	11	20	2	0.296286169
2019	11	20	3	0.29197853
2019	11	20	4	0.296250094
2019	11	20	5	0.299435227
2019	11	20	6	0.294060897
2019	11	20	7	0.290673908
2019	11	20	8	0.288072206
2019	11	20	9	0.286519429
2019	11	20	10	0.285985537
2019	11	20	11	0.284346608
2019	11	20	12	0.282456942
2019	11	20	13	0.280809844
2019	11	20	14	0.295887924
2019	11	20	15	0.297483726
2019	11	20	16	0.292677163
2019	11	20	17	0.293283356
2019	11	20	18	0.300343684
2019	11	20	19	0.297964725
2019	11	20	20	0.294664123
2019	11	20	21	0.291259134
2019	11	20	22	0.289689982
2019	11	20	23	0.287752174
2019	11	21	0	0.285863746
2019	11	21	1	0.284407775
2019	11	21	2	0.282937123
2019	11	21	3	0.281960992
2019	11	21	4	0.281459741
2019	11	21	5	0.280762999
2019	11	21	6	0.279900369
2019	11	21	7	0.279742323
2019	11	21	8	0.279428792
2019	11	21	9	0.27886494
2019	11	21	10	0.283571826
2019	11	21	11	0.287670547
2019	11	21	12	0.287339264
2019	11	21	13	0.297012558
2019	11	21	14	0.298834028
2019	11	21	15	0.293868255
2019	11	21	16	0.28994899
2019	11	21	17	0.287656011
2019	11	21	18	0.28535647
2019	11	21	19	0.284140511
2019	11	21	20	0.283075576
2019	11	21	21	0.283821329
2019	11	21	22	0.301436918
2019	11	21	23	0.301838339
2019	11	22	0	0.310430622
2019	11	22	1	0.303313873
2019	11	22	2	0.296465467
2019	11	22	3	0.293002013
2019	11	22	4	0.29131141
2019	11	22	5	0.288907182
2019	11	22	6	0.287640318
2019	11	22	7	0.286373921
2019	11	22	8	0.286265463
2019	11	22	9	0.286144306
2019	11	22	10	0.284720441
2019	11	22	11	0.284071189
2019	11	22	12	0.282772258
