File name,Station,Country,Affiliation,Detector Typ,Latitude,Longitude,Altitude,Main land use,Meanairtemperature,Meanannualprecipitation,Climate classification (Koeppen&Geiger),Time period start,Time period end
RUBCDKR001,Schoeneseiffen,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS2000B,50.515,6.376,611,Grassland,7,870,Dfb,8.2015,today
RUBCK002,Gevenich,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS1000,50.989,6.324,107,Cropland,10.3,718,Cfb,7.2011,today
RUBCK003,Ruraue,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS1000,50.862,6.427,100,Grassland,10.3,718,Cfb,11.2011,today
RUBCK004,Wildenrath,Germany,TERENO/Forschungszentrum Juelich (FZJ),CRS1000,51.133,6.169,72,Forest,10.3,722,Cfb,4.2012,today
RUC004,Heinsberg,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS1000,51.041,6.104,58,Cropland,10.3,722,Cfb,9.2011,today
RUC005,Kall,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS1000,50.501,6.526,505,Grassland,8,857,Dfb,9.2011,today
RUC006,Aachen,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS1000,50.799,6.025,232,Cropland,10.3,865,Cfb,1.2012,today
RUC007,Kleinhau1,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS2000B,50.722,6.372,374,Grassland,9,614,Cfb,8.2015,today
RUC008,Kleinhau2,Germany ,MOSES/Forschungszentrum Juelich (FZJ),CRS2000B,50.718,6.399,394,Reforestation,9,614,Cfb,6.202,today
SAC001,Saerheim,Norway,Norwegian Water Resources and Energy Directorate (NVE),-,58.761,5.651,91,Grassland,7.7,2500,Cfb,9.2017,7.2021
SCC001,Schaefertal1,Germany,Uni Potsdam,CRS1000,51.657,11.043,425,Cropland,9.9,951,Dfb,10.201,9.2019
SCC004,Schaefertal4,Germany,Uni Potsdam,CRS1000,51.655,11.049,399,Cropland,9.9,951,Dfb,9.201,6.202
SEC001,Selhausen,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS2000/B,50.866,6.447,101,Cropland,10.3,718,Cfb,3.2015,today
SHC001,Sheepdrove1,England,Uni Bristol,CRS 2000/B,51.515,-1.458,197,Cropland,9.5,815,Cfb,7.2015,12.2019
SHC002,Sheepdrove2,England,Uni Bristol,CRS 2000/B,51.528,-1.468,204,Cropland,9.5,815,Cfb,6.2015,12.2019
SHC003,Sheepdrove3,England,Uni Bristol,CRS 2000/B,51.523,-1.486,182,Cropland,9.5,815,Cfb,7.2015,7.2019
TOC001,Toulouse,France,Centre d'Etudes Spatiales de la Biosph�re (CESBIO),CRS1000,43.385,1.292,188,Grassland,13.6,1028,Cfa,2.2011,8.2018
VOC001,Voulund,Denmark,The Danish Hydrological Observatory (HOBE),CRS1000/B,56.036,9.156,67,Cropland,8.2,1050,Dfb,2.2013,6.2021
WAC001,Wildacker,Germany,TERENO/GFZ,CRS1000,53.33,13.199,96,Forest,9.7,580,Dfb,7.2013,12.202
WEC001,Weisssee,Austria ,Uni Innsbruck,"CRS1000, CRS2000/B",46.873,10.714,2464,Sparse Vegetation,-2.7,1547,ET,2.2014,today
WUC001,Wuestebach1,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS1000,50.503,6.333,605,Forest,7,1180,Dfb,2.2011,today
WUC002,Wuestebach2,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS2000B,50.505,6.331,607,Forest,7,1180,Dfb,6.2014,today
WUC003,Wuestebach3,Germany ,TERENO/Forschungszentrum Juelich (FZJ),CRS2000B,50.503,6.336,605,Reforestation,7,1180,Dfb,3.202,today
ZEC001,Zerbst,Germany,Helmholtz-Zentrum fuer Umweltforschung (UFZ),2x CRS1000,51.993,12.126,74,Grassland�,10.4,847,Dfb,6.202,today
ZUC001,Zuelpich,Germany ,ADAPTER/Forschungszentrum Juelich (FZJ),Styx V1,50.692,6.717,158,Cropland,10.4,1009,Cfb,9.202,today
